192.168.1.10 - - [13/Dec/2025:09:00:01 +0700] "GET / HTTP/1.1" 200 1024 "-" "Mozilla/5.0 (X11; Linux x86_64)"
192.168.1.11 - - [13/Dec/2025:09:00:02 +0700] "GET /login HTTP/1.1" 200 2048 "http://example.com/" "Mozilla/5.0 (Windows NT 10.0; Win64)"
192.168.1.12 - - [13/Dec/2025:09:00:03 +0700] "POST /login HTTP/1.1" 401 512 "http://example.com/login" "Mozilla/5.0 (Windows NT 10.0; Win64)"
192.168.1.12 - - [13/Dec/2025:09:00:03 +0700] "POST /logintest HTTP/1.1" 401 512 "http://example.com/login" "Mozilla/5.0 (Windows NT 10.0; Win64)"
192.168.1.12 - - [13/Dec/2025:09:00:03 +0700] "POST /1231231 HTTP/1.1" 401 512 "http://example.com/login" "Mozilla/5.0 (Windows NT 10.0; Win64)"
192.168.1.12 - - [13/Dec/2025:09:00:03 +0700] "POST /logintest HTTP/1.1" 401 512 "http://example.com/login" "Mozilla/5.0 (Windows NT 10.0; Win64)"
192.168.1.12 - - [13/Dec/2025:09:00:03 +0700] "POST /12312312  HTTP/1.1" 401 512 "http://example.com/login" "Mozilla/5.0 (Windows NT 10.0; Win64)"
192.168.1.12 - - [13/Dec/2025:09:00:03 +0700] "POST /112231231 HTTP/1.1" 401 512 "http://example.com/login" "Mozilla/5.0 (Windows NT 10.0; Win64)"
192.168.1.12 - - [13/Dec/2025:09:00:03 +0700] "POST /test HTTP/1.1" 401 512 "http://example.com/login" "Mozilla/5.0 (Windows NT 10.0; Win64)"
192.168.1.12 - - [13/Dec/2025:09:00:03 +0700] "DELETE /test HTTP/1.1" 401 512 "http://example.com/login" "Mozilla/5.0 (Windows NT 10.0; Win64)"
192.168.1.12 - - [13/Dec/2025:09:00:03 +0700] "PUT /test HTTP/1.1" 401 512 "http://example.com/login" "Mozilla/5.0 (Windows NT 10.0; Win64)"
192.168.1.12 - - [13/Dec/2025:09:00:03 +0700] "PUT /123123 HTTP/1.1" 401 512 "http://example.com/login" "Mozilla/5.0 (Windows NT 10.0; Win64)"
192.168.1.12 - - [13/Dec/2025:09:00:03 +0700] "DELETE /123123 HTTP/1.1" 401 512 "http://example.com/login" "Mozilla/5.0 (Windows NT 10.0; Win64)"
192.168.1.12 - - [13/Dec/2025:09:00:03 +0700] "DELETE /12345654645 HTTP/1.1" 401 512 "http://example.com/login" "Mozilla/5.0 (Windows NT 10.0; Win64)"
